6.00071,7.7865,166.647,128.427
6.05531,6.9274,165.144,144.354
6.0602,6.6453,165.011,150.482
6.06033,6.5992,165.007,151.534
6.06315,7.1614,164.931,139.638
6.06042,6.4591,165.005,154.82
6.05739,6.4386,165.087,155.313
6.06206,6.6338,164.96,150.743
6.06016,6.5597,165.012,152.446
6.06007,6.8283,165.015,146.449
6.06007,6.5734,165.015,152.128
6.06212,6.8763,164.959,145.427
6.06089,7.8632,164.992,127.175
6.06017,7.5049,165.012,133.246
6.06118,6.5523,164.984,152.618
6.06047,6.6609,165.004,150.13
6.06235,6.4598,164.953,154.804
6.05967,6.4716,165.025,154.521
6.06547,10.1852,164.868,98.1817
6.05786,6.7363,165.075,148.449
6.05812,6.4956,165.068,153.95
6.0614,7.4222,164.979,134.731
54.5275,321.285,18.3394,3.1125
6.21157,11.9898,160.99,83.4042
6.06146,6.9789,164.977,143.289
